SALUS_Unit,AgMit_Unit
?,
(deg. day) (deg. day)^-1,
[?],
%,%
% dry wt.,
% of max. available w.,
C,degree_C
cm,cm
cm h^-1,cm/h
cm/day,cm/d
cm^2,cm2
cmol kg^-1,cmol/kg
count,count
d,d
d [?],d
d h^-1,d/h
d-1,
d^-1,1/h
day of the year,day
degree,degree
degree C,degree_C
degree day,
degree day leaf^-1,
degree-days,
degrees from N,
ears MJ^-1,
ears plant^-1,
fraction,fraction
Fraction,fraction
g,g
g cm^-2,g/cm
g elemental N Mg^-1 soil,g[N]/Mg
g elemental P Mg^-1 soil,g[P]/Mg
g g^-1,g/g
g kernel^-1 d^-1,
g kg^-1,g/kg
g MJ^-1,g/MJ
g plant^-1 leaf equiv.^-1,
g/kg,g/kg
g/plant,g/plant
h,h
hr,h
kernels ear^-1,
kernels ear^-1 MJ^-1,
kg ha^-1,kg/ha
kg ha^-1 d^-1,kg/ha/d
kg kg^-1,kg/kg
kg N ha^-1,kg[N]/ha
kg/ha,kg/ha/d
km d^-1,km/d
km/d^,km/d
km/d,km/d
leaf equivalent,
leaf equivalent cm^-1,
leaf leaf^-1,
m,m
m/s,m/s
m^2,m2
m^2 m^-2,m2/m2
m^3,m3
m^3 m^-3,m3/m3
mg kg^-1,mg/hg
Mg m^-3,Mg/m3
Mg Mg^-1,Mg/Mg
MJ m^-2 d^-1,MJ/m2/d
MJ plant^-1,MJ/plant
mm,mm
mm d^-1,mm/d
mm or mm d^-1,mm
moles m^-2 d^-1,mole/m2/d
N/A,
None,
pH units,number
plants hill^-1,
plants m^-2,
ppm,ppm
PPM,ppm
Ratio,ratio
replications,
S m^-1,seimen/m
unitless,unitless
Unitless,unitless
various,
yr,year
